Title,Harga,Tags
Mini Motorways,Rp 62 999,Simulation
Cris Tales,Rp 314 100,Adventure
Death's Door,Rp 101 999,Action
Furious Seas,Rp 76 299,Action
F1® 2021,Rp 699 000,Racing
Ragnarock,Rp 119 999,Rhythm
Walkabout Mini Golf VR,Rp 95 999,Sports
NEKOPARA - Catboys Paradise,Free,Otome
The Last Stand Legacy Collection,Rp 69 999,Action
Total War: WARHAMMER II - The Silence & The Fury,Rp 89 999,Strategy
Reminiscence,Free To Play,Horror
Swords of Legends Online,Rp 600 000,MMORPG
Monster Hunter Stories 2: Wings of Ruin,Rp 847 999,RPG
Monster Hunter Stories 2: Wings of Ruin Trial Version,Free,RPG
Fears to Fathom - Home Alone,Free To Play,Horror
Doki Doki Literature Club Plus!,Rp 95 999,Psychological Horror
Arid,Free,Open World Survival Craft
Redmatch 2,Free To Play,Multiplayer
SCARLET NEXUS,Rp 549 000,Action
Tanks: The Crusades,Free,Tanks
TM - Prologue,Free,Strategy
PULSAR: Lost Colony,Rp 119 999,Space
Vedelem: The Golden Horde,Free,Strategy
ENDER LILIES: Quietus of the Knights,Rp 119 999,Metroidvania
SURV1V3,Rp 119 999,VR
Roguebook,Rp 319 999,Roguelike Deckbuilder
Cruelty Squad,Rp 108 999,FPS
Dark Deity,Rp 119 999,Turn-Based Tactics
Wildermyth,Rp 119 999,Story Rich
Spellcaster University,Rp 119 999,Strategy
Minute of Islands,Rp 87 199,Indie
GUILTY GEAR -STRIVE-,Rp 749 000,2D Fighter
GUILTY GEAR -STRIVE-,Rp 749 000,2D Fighter
Hell Architect: Prologue,Free,City Builder
Deepest Sword,Free To Play,Side Scroller
Muck,Free,Survival
パトルの軍事博物館３ 超絶無敵究極兵器,Rp 144 499,RPG
Cosmoscope,Rp 82 999,Twin Stick Shooter
An Un-epic story: The adventure of Enki and Tiny Freddie,Rp 35 999,Nudity
XSection,,Casual
Pixel Ramen - Easy Pixel Art and Pixel GIF Creator,,Utilities
Mini Motorways,Rp 62 999,Simulation
"Cleaning Robot Match ""Scatter Battlers""",Rp 55 999,Action
Clown In a House,Rp 59 999,Adventure
Save The Octo,Rp 50 399,Hero Shooter
Magic gems,Rp 50 399,Casual
Hungry Bunny,Rp 50 399,Casual
Barking Puzzle,Rp 19 799,Exploration
Ancient Dino Runner,Rp 50 399,Simulation
AirFighter,Rp 19 799,Tactical RPG
Tank Zombie Smasher,Rp 19 799,Clicker
Rolling Car,Rp 50 399,Racing
Ascent,Rp 19 799,Adventure
Hungry Fish,Rp 23 999,Casual
SPACE DANCE,Rp 50 399,Action
Hustle Game,Rp 50 399,Perma Death
Follow Your Heart,,Casual
Welcome To Graystone,Rp 144 499,Exploration
Mavis Beacon Keyboarding Kidz,Rp 325 662,Casual
Cris Tales Original Soundtrack,Rp 69 999,
Rogue Company,Free To Play,Free to Play
Cris Tales,Rp 314 100,Adventure
Death's Door Soundtrack,Rp 60 000,
Death's Door,Rp 101 999,Action
Gabriels Worlds The Adventure,Rp 12 249,Precision Platformer
Tactical Vanguard Saga,Rp 39 999,Strategy RPG
Gopnik,,Simulation
Goddess detective,Rp 13 124,Nudity
TIERRA - Mystery Point & Click Adventure,Rp 32 999,Adventure
Star Chaser in Sea World,Rp 7 649,Casual
BeerLeague Superstar,Rp 17 400,Simulation
Horror Villa 恐怖撤锁,Rp 39 999,Racing
